Stock Number,Barcode,Name
UNC 5/16 NYLOC (Hardie),634986537527,5/16 UNC Nyloc Nut
UNC 5/16 NYLOC (Holmes),907760051041,5/16 UNC Nyloc Nut
UNC 5/16FULLNUT ZP,178472425770,5/16 Hex Full Nut UNC ZP
UNC 1/4 NYLOC 1/2,805592427972,Nyloc Half Nut 1/4 UNC
R73AS 6-5 (Rivtec),003181035291,Truss Rivet 6.4 - 7.9mm
OR.116N70 (Sealhouse),807343037662,O Ring NBR 70 SH
R73AS 6-5 (Ullrich),780319871061,Truss Rivet 6.4 - 7.9mm
UNC 3/16 NYLOC,546757852806,3/16 UNC Nylock Nut
UNC 5/16 NYLOC 1/2,927054453681,Nyloc Half Nut 5/16 UNC
OR.116N70 (Holmes),574855721692,O Ring NBR 70 SH
OR.012N70,779224551524,O Ring NBR 70 SH 012
R73AS 6-4,669773433144,Truss Rivet 4.8 - 6.4mm
R73AS 6-8,597963045283,Truss Rivet 11.1 - 12.7mm
M5x30,733560203979,M5x30 HT Bolt ZP 8.8
M6x16 (Brassfit),938855665539,M6x16 HT Bolt ZP 8.8
M6x16 (MSL),229520168136,M6x16 HT Bolt ZP 8.8
OR.020N70,827757847453,O Ring NBR 70 SH
OR.211N70,650894297650,NBR 70 SH 211
290,944527683560,Split Ring NP 19mm
R73ASL 6-8,885965568867,Large Head Rivet 11.1 - 12.7mm
R72AS 6-6,598221173438,C/Sunk Rivet 7.9 - 9.5mm
291,423512646346,Ring Pull
OR.018N70,797768355265,O Ring NBR 70SH 018
M6x20 CAP (Brassfit),884671067404,M6x20 Allen Cap Screw ZP
886-418-001,958534076050,Seal Retainer ZVA
P1706 (Liquip),561266161546,Nut to suit SLV Stud
UNC 3/8 NYLOC 1/2,582947443019,Nyloc Half Nut 3/8 UNC
P1706 (Hardie Fast),778745894745,Nut to suit SLV Stud
M6x20 CAP (Hardie Fast),940066693796,M6x20 Allen Cap Screw ZP
M12 NYLOC (Brassfit),672188463014,M12 Nyloc Nut ZP
M4x30,989598845071,M4x30 HT Bolt ZP 8.8
OR.216N70,141357882431,O Ring NBR 70 SH
M10 NYLOC (MSL),615084977322,M10 Nyloc Nut ZP
M12 NYLOC (MSL),611558613236,M12 Nyloc Nut ZP
M10 NYLOC (Brassfit),573998378819,M10 Nyloc Nut ZP
M6x20,347820101950,M6x20 HT Bolt ZP 8.8
M10 NYLOC (Holmes),390665662512,M10 Nyloc Nut ZP
M10 NYLOC (Bolt Shop),826142114428,M10 Nyloc Nut ZP
M12 NYLOC (Grossman),480828017362,M12 Nyloc Nut ZP
M10 NYLOC (Hardie),131406696005,M10 Nyloc Nut ZP
OR.905N90,334220649106,O Ring Hydraulic 905
M12 NYLOC (Bolt Shop),,M12 Nyloc Nut ZP
7482140,,Probe Wire RS pro white 0.52mm/mtr
OR.217N70,680493497754,O Ring NBR 70 SH
886-103-002,730762515830,Circlip ZVA
M5x45,002268120677,M5x45 HT Bolt ZP 8.8
M5x12,162779599291,M5x12 HT Bolt ZP 8.8
M6x12 (Bolt Shop),696467974363,M6x12 HT Bolt ZP 8.8
CABLE TIES,550474494676,Cable Ties
M6x25 (Grossman),816621586552,M6x25 HT Bolt ZP 8.8
M6x25 (Brassfit),281392408827,M6x25 HT Bolt ZP 8.8
M8x30 (Brassfit),634550069894,M8x30 HT Bolt ZP 8.8
M8x30 (MSL),049791626929,M8x30 HT Bolt ZP 8.8
M8x30 (Bolt Shop),861610193109,M8x30 HT Bolt ZP 8.8
OR.008V75,860517117579,O Ring Viton 75 SH008
M4x16SS,702468917888,M4x16 S/S Bolt
